%time,field
1673961806607260192,0.0
1673961806625551020,0.0
1673961806645855698,0.0
1673961806665768168,0.0
1673961806686540085,0.0
1673961806707911941,0.0
1673961806726035312,0.0
1673961806746535252,0.0
1673961806770503775,0.0
1673961806785405534,0.0
1673961806806745489,0.0
1673961806827261258,0.0
1673961806846729401,0.0
1673961806876546426,0.0
1673961806886756982,0.0
1673961806909665419,0.0
1673961806926021681,0.0
1673961806946058084,0.0
1673961806969840115,0.0
1673961806985985252,0.0
1673961807010847766,0.0
1673961807025916238,0.0
1673961807046711901,0.0
1673961807065638456,0.0
1673961807088439360,0.0
1673961807109293373,0.0
1673961807127058136,0.0
1673961807147041729,0.0
1673961807167302863,0.0
1673961807189433662,0.0
1673961807208503214,0.0
1673961807226453459,0.0
1673961807246032857,0.0
1673961807268272024,0.0
1673961807288574863,0.0
1673961807308198259,0.0
1673961807329525239,0.0
1673961807345840985,0.0
1673961807368547496,0.0
1673961807387757093,0.0
1673961807405949144,0.0
1673961807426638137,0.0
1673961807445266770,0.0
1673961807465733431,0.0
1673961807485921661,0.0
1673961807509859032,0.0
1673961807527431405,0.0
1673961807546731131,0.0
1673961807565759743,0.0
1673961807585700679,0.0
1673961807606373876,0.0
1673961807630182158,0.0
1673961807646169804,0.0
1673961807669631255,0.0
1673961807685281336,0.0
1673961807707721624,0.0
1673961807728275988,0.0
1673961807745291130,0.0
1673961807768880942,0.0
1673961807786626650,0.0
1673961807808157114,0.0
1673961807825284979,0.0
1673961807845261295,0.0
1673961807865734198,0.0
1673961807885399063,0.0
1673961807907939768,0.0
1673961807925605255,0.0
1673961807945480340,0.0
1673961807969146587,0.0
1673961807985487461,0.0
1673961808007208135,0.0
1673961808025899469,0.0
1673961808045953037,0.0
1673961808068029399,0.0
1673961808086836807,0.0
1673961808107378951,0.0
1673961808125425378,0.0
1673961808145750831,0.0
1673961808168316612,0.0
1673961808185297903,0.0
1673961808206999269,0.0
1673961808225437851,0.0
1673961808245523086,0.0
1673961808265801301,0.0
1673961808285663752,0.0
1673961808305627579,0.0
1673961808326472194,0.0
1673961808345915398,0.0
1673961808365207855,0.0
1673961808385266937,0.0
1673961808407779883,0.0
1673961808425464090,0.0
1673961808449188134,0.0
1673961808465811329,0.0
1673961808487127441,0.0
1673961808506887940,0.0
1673961808525308584,0.0
1673961808547613601,0.0
1673961808566558496,0.0
1673961808586387739,0.0
1673961808605642393,0.0
1673961808625273843,0.0
1673961808645430469,0.0
1673961808665279309,0.0
1673961808685332921,0.0
1673961808707362151,0.0
1673961808725398708,0.0
1673961808745521824,0.0
1673961808765880856,0.0
1673961808791415162,0.0
1673961808811284893,0.0
1673961808826118628,0.0
1673961808845619175,0.0
1673961808875549952,0.0
1673961808889440957,0.0
1673961808905528924,0.0
1673961808929302095,0.0
1673961808947630939,0.0
1673961808966084501,0.0
1673961808986047722,0.0
1673961809007891131,0.0
1673961809026701684,0.0
1673961809047704370,0.0
1673961809066216161,0.0
1673961809095071995,0.0
1673961809112303268,0.0
1673961809126558240,0.0
1673961809146044797,0.0
1673961809166242413,0.0
1673961809189632299,0.0
1673961809207593320,0.0
1673961809225944428,0.0
1673961809246208417,0.0
1673961809266497682,0.0
1673961809285762915,0.0
1673961809306573768,0.0
1673961809325699002,0.0
1673961809347082570,0.0
1673961809379916754,0.0
1673961809386065489,0.0
1673961809406033772,0.0
1673961809425510649,0.0
1673961809446664147,0.0
1673961809465519018,0.0
1673961809485770371,0.0
1673961809505514183,0.0
1673961809527027305,0.0
1673961809545440725,0.0
1673961809571341987,0.0
1673961809586933085,0.0
1673961809606766282,0.0
1673961809625491184,0.0
1673961809645751388,0.0
1673961809665446152,0.0
1673961809686706180,0.0
1673961809706058165,0.0
1673961809725393271,0.0
1673961809746519208,0.0
1673961809765730539,0.0
1673961809785314374,0.0
1673961809808063237,0.0
1673961809825406232,0.0
1673961809847069162,0.0
1673961809865500396,0.0
1673961809885329764,0.0
1673961809909411114,0.0
1673961809925243614,0.0
1673961809945530663,0.0
1673961809965587124,0.0
1673961809985296166,0.0
1673961810007305765,0.0
1673961810025690811,0.0
1673961810045583073,0.0
1673961810066521315,0.0
1673961810091595691,0.0
1673961810105449143,0.0
1673961810127944512,0.0
1673961810145175657,0.0
1673961810166024204,0.0
1673961810186530139,0.0
1673961810205876140,0.0
1673961810225629889,0.0
1673961810247510290,0.0
1673961810266015746,0.0
1673961810291060728,0.0
1673961810307333360,0.0
1673961810326076071,0.0
1673961810345902534,0.0
1673961810367579917,0.0
1673961810385928976,0.0
1673961810406758606,0.0
1673961810432861259,0.0
1673961810448330505,0.0
1673961810465976733,0.0
1673961810488628451,0.0
1673961810506305520,0.0
1673961810525488175,0.0
1673961810545715534,0.0
1673961810565337090,0.0
1673961810585626790,0.0
1673961810606879095,0.0
1673961810626666362,0.0
1673961810645637852,0.0
1673961810676127742,0.0
1673961810685314735,0.0
1673961810708158872,0.0
1673961810725689185,0.0
1673961810745360874,0.0
1673961810768801876,0.0
1673961810785435179,0.0
1673961810808601482,0.0
1673961810825271460,0.0
1673961810845315807,0.0
1673961810880583070,0.0
1673961810886218748,0.0
1673961810909457498,0.0
1673961810925258885,0.0
1673961810945231540,0.0
1673961810968355272,0.0
1673961810985365693,0.0
1673961811006187326,0.0
1673961811025454561,0.0
1673961811045517668,0.0
1673961811066353364,0.0
1673961811092501097,0.0
1673961811107967531,0.0
1673961811125145064,0.0
1673961811145859784,0.0
1673961811166394148,0.0
1673961811186939655,0.0
1673961811207101323,0.0
1673961811225659114,0.0
1673961811245809390,0.0
1673961811265930754,0.0
1673961811285728767,0.0
1673961811306522804,0.0
1673961811325207898,0.0
1673961811345449949,0.0
1673961811369159723,0.0
1673961811385158328,0.0
1673961811406358655,0.0
1673961811425596554,0.0
1673961811445549308,0.0
1673961811465385411,0.0
1673961811485732185,0.0
1673961811505661953,0.0
1673961811526186160,0.0
1673961811545485754,0.0
1673961811565529806,0.0
1673961811586731690,0.0
1673961811607525762,0.0
1673961811625201230,0.0
1673961811645523342,0.0
1673961811674774766,0.0
1673961811685452387,0.0
1673961811705978810,0.0
1673961811725785155,0.0
1673961811745299659,0.0
1673961811765375726,-5.55111512313e-16
1673961811785363755,-3.39668994223e-05
1673961811806132403,-0.000135867597687
1673961811827928715,-0.000305702094796
1673961811846072633,-0.000543470390747
1673961811873519094,-0.000849172485542
1673961811885381714,-0.00122280837918
1673961811907148298,-0.00166437807166
1673961811925340634,-0.00217388156299
1673961811945164926,-0.00275131885315
1673961811965743321,-0.00339668994216
1673961811985819906,-0.00408961469103
1673961812005305614,-0.00480971296076
1673961812025461730,-0.00555698475135
1673961812045232562,-0.0063314300628
1673961812066281594,-0.00713304889512
1673961812085978164,-0.0079618412483
1673961812105470859,-0.00881780712234
1673961812125664946,-0.00970094651725
1673961812145935401,-0.010611259433
1673961812165739493,-0.0115487458696
1673961812188403704,-0.0124975546052
1673961812220009526,-0.0134418344176
1673961812225728713,-0.0143815853071
1673961812245588970,-0.0153168072734
